序号,经度,纬度
1,37.78087726,-122.4145069
2,37.7648433,-122.4231124
3,37.77637456,-122.4133462
4,37.77220371,-122.4372349
5,37.74650333,-122.4437892
6,37.80764075,-122.4131632
7,37.78646001,-122.3991903
8,37.78013451,-122.4809707
9,37.76048397,-122.4516871
10,37.77633298,-122.3940351
11,37.78708179,-122.4258678
12,37.74297238,-122.4762007
13,37.73450168,-122.3869866
14,37.76419571,-122.4330745
15,37.75891973,-122.4415993
16,37.79302127,-122.4195588
17,37.77422338,-122.4367866
18,37.75392794,-122.4015976
19,37.83166623,-122.3732861
20,37.78808219,-122.4100569
21,37.79612401,-122.4062983
22,37.72867709,-122.4072457
23,37.72618081,-122.4613329
24,37.72144422,-122.4380208
25,37.74225,-122.4191712
26,37.78721414,-122.4593706
27,37.78358102,-122.4210935
28,37.79518021,-122.4467307
29,37.7738357,-122.4544067
30,37.71071265,-122.4129595
31,37.73419617,-122.4333746
32,37.71769933,-122.4513736
33,37.72769364,-122.4249065
34,37.78398364,-122.446072
35,37.71226467,-122.4729324
36,37.79152537,-122.4834802
37,37.78332633,-122.4403249
38,37.71528214,-122.4144762
39,37.76606249,-122.4773628
40,37.70808573,-122.4857239
41,37.785962,-122.496761
42,37.78658366,-122.487285